BRIZZELL'S FLOWERS,518-783-3131,"562 LOUDON ROAD, NEWTONVILLE, NY 12128"
COCKBURN FARM LLC,845-265-3434,"11611 ROUTE 9, GARRISON, NY 10524"
J&R LANDSCAPING INC,631-324-9174,"221 HAYGROUND ROAD, BRIDGEHAMPTON, NY 11932"
SUSAN BISHOP,315-481-8503,"610 ELM STREET, GROTON, NY 13073"
BROKEN CHIMNEY FARM LLC,646-823-3142,"3529 ROUTE 22, DOVER PLAINS, NY 12522"
MR. MARIUSZ KURYLO,718-813-7894,"100 OHAIRE ROAD, MIDDLETOWN, NY 10941"
QUALITY PARKS,631-473-6760,"322 EAST BROADWAY, PORT JEFFERSON, NY 11777"
TWIN MEADOW FARM,717-821-3002,"609 ROUTE 414, CLYDE, NY 14433"
NICK CAMBARERI,914-666-6163,"91 SUCCABONE RD, BEDFORD HILLS, NY 10507"
CORNELL COOPERATIVE EXTENSION SCHENECTADY COUNTY,518-372-1622,"180 PTL ARTHUR CHAIRES LANE, SCHENECTADY, NY 12308"
KEIL NORMAN NURSERY,631-584-6330,"38A FIFTY ACRE ROAD, ST JAMES, NY 11780"
DARATT FARMS,," RTE 104, STERLING, NY 13156"
NEW STARTS,202-210-9503,"6586 LITTLE JOHN ROAD, BELFAST, NY 14711"
HIGH HOPES FARM,518-284-9709,"229 LEESVILLE CROSS ROAD, SHARON SPRINGS, NY 13459"
TURNBULL NURSERY INC,716-337-3812," BRANT-NO COLLINS, BRANT, NY 14027"
TWIN MAPLE FARM,,"139 LATHERS ROAD, FULTONVILLE, NY 12072"
SEIDOFS TRUCK PATCH FARM,607-656-4519,"3551 STATE HIGHWAY 12, OXFORD, NY 13830"
NATURESCAPES,914-422-9337,"2A MACDONALD AVENUE, ARMONK, NY 10504"
WELLS HOMESTEAD,631-833-4301,"185 PHILLIPS LANE, AQUEBOGUE, NY 11931"
ROCHESTER NW ROTARY INTERACT CLUB,585-732-5803,"1 EDGERTON P EDGERTON PARK, ROCHESTER, NY 14613"
BROWNSON FAMILY FARM,315-378-7851,"8149 BRIDGEPORT KIRKVILLE RD, KIRKVILLE, NY 13082"
DELEA LEASING CORP  DBA DELEA SOD FARMS,631-368-8022," MANOR LN & SOUND AVE CHICHANOW, JAMESPORT, NY 11947"
SEED SONG FARM & CENTER,845-902-8154,"160 ESOPUS AVENUE, KINGSTON, NY 12401"
FRESH MEADOW FARM,845-800-8135,"407 INGRASSIA ROAD, MIDDLETOWN, NY 10940"
WINDY ACRES GREENHOUSE & NURSERY,716-541-4923,"6175 WAGNER ROAD, SPRINGVILLE, NY 14141"
GO NATIVE PERENNIALS,240-626-5209,"3134 EAST LAKE ROAD, SKANEATELES, NY 13152"
NATURE MAIDEN PLANTS,518-205-5672,"116 HILL RD, HOOSICK FALLS, NY 12090"
COYOTE HILL FARM,518-762-7672," LENZ ROAD, JOHNSTOWN, NY 12095"
JAY W GUILD  WHOLESALE GROWER,631-765-5299," RR 36400 NORTH ROAD, PECONIC, NY 11958"
VERDERBER LANDSCAPE NURSERY INC,631-722-4388,"1546 SOUND AVENUE, AQUEBOGUE, NY 11931"
HELLERS FARM,607-967-8321,"1157 COUNTY ROUTE 39, BAINBRIDGE, NY 13733"
CASLER FLOWER FARM & GREENHOUSES LLC,315-822-5135,"895 BABCOCK HILL RD, W WINFIELD, NY 13491"
HILLSIDE GARDENS,315-576-7941,"7526 WHEATON RD, SPRINGWATER, NY 14560"
LAPLANTS LAWN & PROPERTY MTCE,,"7482 OLD LYONS RD, LYONS, NY 14489"
TROMBLEES GREENHOUSE + GIFTS,518-586-4511,"2961 NYS ROUTE 9N, CROWN POINT, NY 12928"
DELI-ROCK ACRES,716-498-1973,"11201 MARBLE SPRINGS ROAD, DELEVAN, NY 14042"
COUNTRYSIDE NURSERY,607-243-3895,"6100 ROUTE 14A, ROCK STREAM, NY 14878"
R. M. PUTNEY & ASSOCIATES INC. DBA IMPACT EARTH,,"2257 COUNTY RD 4, STANLEY, NY 14561"
JUDSONS FARM MARKET,845-832-6286,"3255 PLEASANT RIDGE ROAD, WINGDALE, NY 12594"
STEVES GREENHOUSE LLC,607-746-6006,"37784 STATE HIGHWAY 10, HAMDEN, NY 13782"
GRASSE RIVER HEMP,315-212-6002,"6900 CR 27, CANTON, NY 13617"
OUR LITTLE GREWVE FARMS,,"2202 COUNTY RT 21, HERMON, NY 13652"
AUGUSTINE BROS CORP,845-338-4931,"23 CORA TERRACE, KINGSTON, NY 12401"
KURTZ GREENHOUSE,,"2382 NEWCOMB ROAD, ADDISON, NY 14801"
FOREVERGREEN FARMSRUS INC,607-228-3500,"397 E MAINE RD, JOHNSON CITY, NY 13790"
HIDDEN SPRINGS TREE FARM LLC,607-525-6456,"201 CADY ROAD, TROUPSBURG, NY 14885"
WILD THINGS RESCUE NURSERY,518-4419823,"209 BRUNDIGE ROAD, VALLEY FALLS, NY 12185"
VAN HOUTEN FARMS LLC,845-735-4689,"68 SICKLETOWN ROAD, ORANGEBURG, NY 10962"
REXCROFT FARM,518-821-8709,"389 LEEDS-ATHENS ROAD, ATHENS, NY 12015"
PINE VIEW GREENHOUSE,315-858-2089,"263 DUGAN ROAD, RICHFIELD SPINGS, NY 13439"
HILL TOP GREENHOUSE,,"371 ANDERSON ROAD, SPRAKERS, NY 12166"
ALFREDO LDC,914-666-3950,"620 ARMONK ROAD, MT KISCO, NY 10549"
ENGELKE FARMS AND GARDEN,518-4784939,"463 GARFIELD ROAD, TROY, NY 12180"
WHISKEY HOLLOW STATION,315-530-8671,"7496 KINGDOM ROAD, BALDWINSVILLE, NY 13027"
NORTH SHORE NATIVES,315-675-9892,"351 COOK ROAD, BERNHARDS BAY, NY 13028"
GAKWIYO GARDENS,,"3203 E BAYARD ST, SENECA FALLS, NY 13148"
ROBERT BLUNT,315-841-4804,"2705 STATE ROUTE 315, DEANSBORO, NY 13328"
HIGH BID FARM,585-637-0656,"550 BEADLE RD, BROCKPORT, NY 14420"
SAMASCOTT ORCHARDS LLC,518-758-9292,"65 CHATHAM STREET, KINDERHOOK, NY 12106"
COLWELLS FRM MKT&GDNCTR,315-376-7402,"6007 STATE ROUTE 12, GLENFIELD, NY 13343"
LAXTONS FLORIST&NURSERY,315-685-6427,"2354 WEST LAKE ROAD, SKANEATELES, NY 13152"
BROADVIEW GARDENS EH INC,631-537-0051,"85 WAINSCOTT MAIN ST, WAINSCOTT, NY 11975"
NORMANDIE FARM,585-493-5614,"5998 SCHOOL ROAD, CASTILE, NY 14427"
A & J FARM & GREENHOUSE,716-741-2025,"8600 COUNTY ROAD, EAST AMHERST, NY 14051"
CORALS CORNER AND CONES,518-337-6643,"454 COUNTY ROUTE 60, CAMBRIDGE, NY 12816"
MILL POND EVGRN NUR,315-532-2665," ONIONVILLE ROAD, MARTVILLE, NY 13111"
LESTER W. HOOVER,585-554-6962,"4090 VOORHEES ROAD, MIDDLESEX, NY 14507"
SQUARE ROOTS URBAN GROWERS INC,740-837-6687,"630 FLUSHING AVENUE, BROOKLYN, NY 11206"
JAMESPORT GREENHOUSES,631-722-4927,"172 HERRICKS LANE, JAMESPORT, NY 11947"
NORMAN HOLTZ,607-843-9848,"28 STATE STREET, OXFORD, NY 13830"
OLD ORCHARD GREENHOUSE & NURSERY,716-713-3429,"494 COMMERCIAL STREET, FARNHAM, NY 14061"
DRIFTWOOD FARMS LLC,631-204-0001,"35675 MAIN ROAD, ORIENT, NY 11957"
MAJOR BLOSSOM FARM INC,917-250-0626,"5098 RT 17M, NEW HAMPTON, NY 10958"
DICKMAN FARMS LLC,315-253-3030,"13 ARCHIE STREET, AUBURN, NY 13021"
VICTOR CHRISTMAS TREE FARM,585-924-2079,"1619 MURRAY ROAD, VICTOR, NY 14564"
THE ENGLISH GARDENER LTD,716-833-8000,"1400 KENSINGTON AVENUE, BUFFALO, NY 14215"
CEMETERY FLORAL COMPANY,914-769-2186,"11 W STEVENS AVE, HAWTHORNE, NY 10532"
SUJECKI FARMS & NURSERIES,631-793-8741,"3000 MIDDLE COUNTRY ROAD, CALVERTON, NY 11933"
CROSS CREEK NURSERY INC,315-682-1118,"8415 CAZENOVIA ROAD, MANLIUS, NY 13104"
ZIMMERMAN FLOYD,585-554-4295,"4175 ROUTE 247, CANANDAIGUA, NY 14424"
NATURAL IMAGES NURSERY,631-734-5976,"34800 NORTH ROAD, PECONIC, NY 11958"
COASTAL GREENHOUSES LLC,631-727-1980,"1675 EDWARDS AVENUE, CALVERTON, NY 11933"
FIG TREES AND FLOWERS,631-902-2022,"18 FRADELOS STREET, PORT JEFFERSON STA, NY 11776"
HAWK DANCE FARM,518-325-1430,"362 RODMAN ROAD, HILLSDALE, NY 12529"
GARFIELD ROAD GREENHOUSE,716-665-6222,"2713 GARFIELD ROAD, JAMESTOWN, NY 14701"
GALLETTAS GREENHOUSE,315-343-0879,"60 COUNTY ROUTE 20, OSWEGO, NY 13126"
MITCHELLS ROME PRODUCE,315-337-3984,"6964 SOUTH JAMES STREET, ROME, NY 13440"
SAMS BARGAIN CENTER INC,631-878-2889," HEAD OF NECK ROAD, MANORVILLE, NY 11949"
MARTIN PLANT FARM,716-532-2977,"14466 JENNINGS ROAD, COLLINS, NY 14034"
BIODOME PROJECT,716-489-7668,"207 PINE STREET, JAMESTOWN, NY 14701"
ALTAMONT CTRY VALUESINC,518-861-8061,"106 PROSPECT TERRACE, ALTAMONT, NY 12009"
GREEN MERCHANT GARDENING AND HYDROPONICS,607-346-2952,"130 WEST MORRIS STREET, BATH, NY 14810"
DAVENPORT FARMS,845-687-0051,"3411 US  HIGHWAY 209, STONE RIDGE, NY 12484"
GARYS NURSERY,401-787-2453,"186 COLEBROOK ROAD, GANSEVOORT, NY 12831"
LANDSCAPE DETAILS INCORPORATED,631-725-0018,"3885 MIDDLE COUNTRY ROAD, CALVERTON, NY 11933"
NORWHITE SPRUCE FARM LLC,585-309-5638,"5000 COUNTY ROAD 37, HEMLOCK, NY 14466"
GROUNDWORK MARKET GARDEN INC,716-908-7396,"1698 GENESEE ST, BUFFALO, NY 14211"
PANEKS PICKIN PATCH,585-589-6155,"13420 COUNTY HOUSE ROAD, ALBION, NY 14411"
LIESE FARM,585-638-8826,"17100 GULF RD, HOLLEY, NY 14470"
NY BOTANICAL GARDEN THE,718-817-8043,"2900 SOUTHERN BLVD, BRONX, NY 10458"
GALLEAS TROPICAL GRNHSE,716-586-3017," 2832 CLOVER STREET, PITTSFORD, NY 14534"
WYCKOFF,607-280-1413,"3795 CTY ROAD 139, OVID, NY 14521"
GROWING FAMILY FARMS,585-301-5926,"602 PECK ROAD, SPENCERPORT, NY 14559"
