CORNELL COOPERATIVE EXTENSION SCHENECTADY COUNTY,,BRIZZELL'S FLOWERS,518-783-3131,"562 LOUDON ROAD, NEWTONVILLE, NY 12128"
NEW STARTS,,COCKBURN FARM LLC,845-265-3434,"11611 ROUTE 9, GARRISON, NY 10524"
BROKEN CHIMNEY FARM LLC,,J&R LANDSCAPING INC,631-324-9174,"221 HAYGROUND ROAD, BRIDGEHAMPTON, NY 11932"
TWIN MEADOW FARM,news@mojonews.com,SUSAN BISHOP,315-481-8503,"610 ELM STREET, GROTON, NY 13073"
TWIN MEADOW FARM,msweeney@mojonews.com,BROKEN CHIMNEY FARM LLC,646-823-3142,"3529 ROUTE 22, DOVER PLAINS, NY 12522"
TWIN MEADOW FARM,mahart@mojonews.com,MR. MARIUSZ KURYLO,718-813-7894,"100 OHAIRE ROAD, MIDDLETOWN, NY 10941"
TWIN MEADOW FARM,jross@mojonews.com,QUALITY PARKS,631-473-6760,"322 EAST BROADWAY, PORT JEFFERSON, NY 11777"
TWIN MEADOW FARM,kgarabrandt@mojonews.com,TWIN MEADOW FARM,717-821-3002,"609 ROUTE 414, CLYDE, NY 14433"
TWIN MEADOW FARM,tmcintosh@mojonews.com,NICK CAMBARERI,914-666-6163,"91 SUCCABONE RD, BEDFORD HILLS, NY 10507"
TWIN MEADOW FARM,lludovici@mojonews.com,CORNELL COOPERATIVE ,518-372-1622,"180 PTL ARTHUR CHAIRES LANE, SCHENECTADY, NY 12308"
TWIN MEADOW FARM,jdcreer@mojonews.com,KEIL NORMAN NURSERY,631-584-6330,"38A FIFTY ACRE ROAD, ST JAMES, NY 11780"
TWIN MEADOW FARM,cmanypenny@mojonews.com,DARATT FARMS,," RTE 104, STERLING, NY 13156"
TWIN MEADOW FARM,mburich@mojonews.com,NEW STARTS,202-210-9503,"6586 LITTLE JOHN ROAD, BELFAST, NY 14711"
TWIN MEADOW FARM,selverd@mojonews.com,HIGH HOPES FARM,518-284-9709,"229 LEESVILLE CROSS ROAD, SHARON SPRINGS, NY 13459"
TWIN MEADOW FARM,rfirth@mojonews.com,TURNBULL NURSERY INC,716-337-3812," BRANT-NO COLLINS, BRANT, NY 14027"
TWIN MEADOW FARM,tdicesare@mojonews.com,TWIN MAPLE FARM,,"139 LATHERS ROAD, FULTONVILLE, NY 12072"
TWIN MEADOW FARM,sports@mojonews.com,SEIDOFS TRUCK PATCH FARM,607-656-4519,"3551 STATE HIGHWAY 12, OXFORD, NY 13830"
MR. MARIUSZ KURYLO,,NATURESCAPES,914-422-9337,"2A MACDONALD AVENUE, ARMONK, NY 10504"
TURNBULL NURSERY INC,plants@turnbullnursery.com,WELLS HOMESTEAD,631-833-4301,"185 PHILLIPS LANE, AQUEBOGUE, NY 11931"
TWIN MAPLE FARM,info@twinmaplefarmspa.com,ROCHESTER NW ROTARY INTERACT CLUB,585-732-5803,"1 EDGERTON P EDGERTON PARK, ROCHESTER, NY 14613"
SEIDOFS TRUCK PATCH FARM,,BROWNSON FAMILY FARM,315-378-7851,"8149 BRIDGEPORT KIRKVILLE RD, KIRKVILLE, NY 13082"
HIGH HOPES FARM,example@mail.com,DELEA LEASING CORP  DBA DELEA SOD FARMS,631-368-8022," MANOR LN & SOUND AVE CHICHANOW, JAMESPORT, NY 11947"
DELEA LEASING CORP  DBA DELEA SOD FARMS,tips@cnn.com,SEED SONG FARM & CENTER,845-902-8154,"160 ESOPUS AVENUE, KINGSTON, NY 12401"
ROCHESTER NW ROTARY INTERACT CLUB,,FRESH MEADOW FARM,845-800-8135,"407 INGRASSIA ROAD, MIDDLETOWN, NY 10940"
WELLS HOMESTEAD,,WINDY ACRES GREENHOUSE & NURSERY,716-541-4923,"6175 WAGNER ROAD, SPRINGVILLE, NY 14141"
SEED SONG FARM & CENTER,,GO NATIVE PERENNIALS,240-626-5209,"3134 EAST LAKE ROAD, SKANEATELES, NY 13152"
GO NATIVE PERENNIALS,Emailgonativeskan@gmail.com,NATURE MAIDEN PLANTS,518-205-5672,"116 HILL RD, HOOSICK FALLS, NY 12090"
JAY W GUILD  WHOLESALE GROWER,,COYOTE HILL FARM,518-762-7672," LENZ ROAD, JOHNSTOWN, NY 12095"
VERDERBER LANDSCAPE NURSERY INC,,JAY W GUILD  WHOLESALE GROWER,631-765-5299," RR 36400 NORTH ROAD, PECONIC, NY 11958"
BROWNSON FAMILY FARM,brownsonfamilyfarm1975@qmail.com,VERDERBER LANDSCAPE NURSERY INC,631-722-4388,"1546 SOUND AVENUE, AQUEBOGUE, NY 11931"
NATURESCAPES,,HELLERS FARM,607-967-8321,"1157 COUNTY ROUTE 39, BAINBRIDGE, NY 13733"
WINDY ACRES GREENHOUSE & NURSERY,support@giftly.com,CASLER FLOWER FARM & GREENHOUSES LLC,315-822-5135,"895 BABCOCK HILL RD, W WINFIELD, NY 13491"
TROMBLEES GREENHOUSE + GIFTS,,HILLSIDE GARDENS,315-576-7941,"7526 WHEATON RD, SPRINGWATER, NY 14560"
