Company Name,Emails
COCKBURN FARM LLC,424-3574cockburnfarm@gmail.com
DARATT FARMS,
BROKEN CHIMNEY FARM LLC,
KEIL NORMAN NURSERY,
NEW STARTS,
HIGH HOPES FARM,
CORNELL COOPERATIVE EXTENSION SCHENECTADY COUNTY,schenectady-mailbox@cornell.edu ara225@cornell.edu
TWIN MAPLE FARM,
TURNBULL NURSERY INC,
BRIZZELL'S FLOWERS,flwrprincessone@aol.com
WELLS HOMESTEAD,
SUSAN BISHOP,XHw@U.WQ g@k.Yh
DELEA LEASING CORP  DBA DELEA SOD FARMS,
SEED SONG FARM & CENTER,
FRESH MEADOW FARM,
NATURESCAPES,
GO NATIVE PERENNIALS,Emailgonativeskan@gmail.com
COYOTE HILL FARM,
BROWNSON FAMILY FARM,brownsonfamilyfarm1975@gmail.com
ROCHESTER NW ROTARY INTERACT CLUB,matt@koronafamily.com margret@margretroberts.com bobkern@outlook.com
HELLERS FARM,info@hellersfarm.com info@sustainabletompkins.org
VERDERBER LANDSCAPE NURSERY INC,VERDERBERINFO@GMAIL.COM
COUNTRYSIDE NURSERY,
WINDY ACRES GREENHOUSE & NURSERY,
NATURE MAIDEN PLANTS,
CASLER FLOWER FARM & GREENHOUSES LLC,mohawkvalleygrowersassociation@gmail.com
HILLSIDE GARDENS,
TROMBLEES GREENHOUSE + GIFTS,Hourstrombleesgreenhouse@gmail.com
R. M. PUTNEY & ASSOCIATES INC. DBA IMPACT EARTH,
JUDSONS FARM MARKET,
OUR LITTLE GREWVE FARMS,
FOREVERGREEN FARMSRUS INC,
KURTZ GREENHOUSE,
HIDDEN SPRINGS TREE FARM LLC,
WILD THINGS RESCUE NURSERY,
JAY W GUILD  WHOLESALE GROWER,info@lifga.com aw242@cornell.edu
REXCROFT FARM,
AUGUSTINE BROS CORP,info@AugustineNursery.com
HILL TOP GREENHOUSE,
PINE VIEW GREENHOUSE,
ROBERT BLUNT,
ENGELKE FARMS AND GARDEN,
STEVES GREENHOUSE LLC,purecatskills@nycwatershed.org nellyxcorrea@icloud.com
WHISKEY HOLLOW STATION,
NORTH SHORE NATIVES,
ALFREDO LDC,info@alfredoldc.com
GAKWIYO GARDENS,
HIGH BID FARM,
VAN HOUTEN FARMS LLC,
BROADVIEW GARDENS EH INC,
NORMANDIE FARM,
A & J FARM & GREENHOUSE,
LAXTONS FLORIST&NURSERY,
CORALS CORNER AND CONES,
MILL POND EVGRN NUR,
NORMAN HOLTZ,fujiwara-t@aist.go.jp ajabrilf@unal.edu.co ulbricht@physics.ucsb.edu lagullesp@unal.edu.co Timothy.Aucott@SRS.gov ohnishi@nmri.go.jp kojima-s@ile.osaka-u.ac.jp gerti.xhixha@unife.it friedrich1@llnl.gov vfd217@ire216.msk.su mantovani@fe.infn.it nicolas.barriere@iasf-roma.inaf.it Sean.Stave@pnnl.gov fabio.principato@unipa.it regis@ikp.uni g.burgada@caen.it pacedc@fusion.gat.com malvarez@if.usp.br tosiyuki@smail.tohtech.ac.jp lerche@ific.uv.es cslevin@stanford.edu dewjisa@ornl.gov davide.cester@gmail.com ahoover@lanl.gov saito.tatsuya125@canon.co.jp dirk.lennarz@gatech.edu chensz@ihep.ac.cn j.valiente-dobon@surrey.ac.uk beg031000@utdallas.edu massimo.nocente@mib.infn.it ajboston@liv.ac.uk antonino.pietropaolo@mib.infn.it herrmann@lanl.gov danilo.pacella@enea.it katou.frme.8180@asagi.waseda.jp hanna@physics.mcgill.ca jakob.larsson@biox.kth.se tonchev@tunl.duke.edu bertou@cab.cnea.gov.ar zhouxx@swjtu.edu.cn leonardo.abbene@unipa.it sfujioka@ile.osaka-u.ac.jp kevin.phelan@oeaw.ac.at li.mou@libero.it jft@hll.mpg.de rwinkler@lanl.gov rossialvarez@pd.infn.it maitrayee.sahasarkar@saha.ac.in
COLWELLS FRM MKT&GDNCTR,mcolwell@twcny.rr
OLD ORCHARD GREENHOUSE & NURSERY,
JAMESPORT GREENHOUSES,
DRIFTWOOD FARMS LLC,
SAMASCOTT ORCHARDS LLC,info@Samascott.com
MAJOR BLOSSOM FARM INC,
GRASSE RIVER HEMP,mail@potsdamcoop.com
SUJECKI FARMS & NURSERIES,k.sujeckifarms@gmail.com
CEMETERY FLORAL COMPANY,
CROSS CREEK NURSERY INC,
ZIMMERMAN FLOYD,
NATURAL IMAGES NURSERY,
FIG TREES AND FLOWERS,
LESTER W. HOOVER,info@andysgardencenter.com
SQUARE ROOTS URBAN GROWERS INC,
COASTAL GREENHOUSES LLC,contact@contactoceanmonmouth.org
VICTOR CHRISTMAS TREE FARM,ross@kidsoutandabout.com katie@kidsoutandabout.com carol@beyondthenest.com alecia@kidsoutandabout.com debraross@kidsoutandabout.com evelyn@kidsoutandabout.com michelle@kidsoutandabout.com mindy@kidsoutandabout.com amanda@kidsoutandabout.com aileen@kidsoutandabout.com lisa@kidsoutandabout.com june@kidsoutandabout.com hannah@kidsoutandabout.com julia@kidsoutandabout.com michael@kidsoutandabout.com tara@kidsoutandabout.com des@kidsoutandabout.com claire@kidsoutandabout.com angela@kidsoutandabout.com billing@kidsoutandabout.com mandy@kidsoutandabout.com
MITCHELLS ROME PRODUCE,
GALLETTAS GREENHOUSE,
SAMS BARGAIN CENTER INC,Samsbargaincenter@verizon.net
MARTIN PLANT FARM,
DICKMAN FARMS LLC,thegardencenter@dickmanfarms.com
ALTAMONT CTRY VALUESINC,
GARYS NURSERY,
LANDSCAPE DETAILS INCORPORATED,
NORWHITE SPRUCE FARM LLC,
GROUNDWORK MARKET GARDEN INC,
PANEKS PICKIN PATCH,
THE ENGLISH GARDENER LTD,englishgardenerservices@gmail.com
LIESE FARM,
NY BOTANICAL GARDEN THE,
GALLEAS TROPICAL GRNHSE,sheryl@galleas.com
GARFIELD ROAD GREENHOUSE,kaw249@cornell.edu chautauqua@cornell.edu
WYCKOFF,
GROWING FAMILY FARMS,
THE FARM AT MILLERS CROSSING - SELL,
HAWK DANCE FARM,hawkdancefarm@yahoo.com
BIODOME PROJECT,14702info@chautauquachamber.org
SIMMONS FARM,Youmarket@simmonsfarm.com
DAVENPORT FARMS,bruce@davenportfarms.com
RUDY SHETLER,
BAMBI BOYCE,
MILLERTON NURSERY & GARDEN SHOP INC,
GREEN MERCHANT GARDENING AND HYDROPONICS,
PARK LANE DAYLILIES,
RICHARD LIPSKY,
CASSIM FARMS - HATS N THINGS,
"HODGSON FARMS, LLC",hrfd1948@gmail.com
SCHICHTELS NURSERY INC,
ONE NATURE LLC,
NORTH FORK NATIVE PLANTS INC,
BELLS CHRISTMAS TREES LLC,
OLD WESTBURY GDNS INC,susan_wallman@mcgraw-hill.com
SCHUYLER FARMS,
SCHWEIZER CONRAD DR NRS,
SAUDERS GREENHOUSE,info@fergusonsgardencenter.com
FUN ACRES HERB FARM,lars.elsgaard@agrsci.dk
R&R GREENHOUSE,gisele.chaves@ufes.br eecaton@babcock.com trajce.alcinov@amecfw.com ruben.fair@converteam.co benoit.arsenault@amecfw.com alexis.lavine@amecfw.com giovane.ferri@aluno.ufes.br patrick.roussel@amecfw.com jegan@sageengineers.com dmullin@nbpower.com glaydston@pet.coppe.ufrj.br david.buchan@opg.com zlatko.catovic@opg.com sergiy.shaula@amecfw.com shen@robo.mein.naogya-u.ac.jp rajiv@textile.iitd.ac.in alaiem@ripi.ir
MIDWAY GARDEN CENTER LLC,
MAHONEY STEPHEN INC,
ACADIAN FARM,
MOORE CHRISTMAS TREE FARM,
TOWN & COUNTRY ENTERPRISES INC,info@townandcountryent.com
SILVERLEAF GRNHSES INC,
FULLY ROOTED INCORPORATED,theresa@northtonawandaflorist.com
RIVER RUN TREE FARMS,journals.permissions@oup.com emanuela.mattioli@univ-lyon1.fr christian.jungreuthmayer@boku.ac.at juergen.zanghellini@boku.ac.at
LAKESIDE SOD SPLY CO IN,turf@lakesidesod.com
MOELIUS FARMS,
DISTINGUISHED FARMS LLC,
SCHICHTELS NURSERY INC,14141info@schichtels.com
WARNER NURSERY LLC,
BRALEY FARM,
GAJESKI PRODUCE,
SARATOGA SOD FARM INC,saratoga@cornell.edu
SKY-HIGH TURF FARM,
BAYPORT FLOWER HOUSES,
WOODSIDE NURSERY INC,
BONNIE PLANTS LLC,
HOOVER HOWARD,
